sentence,exrecise,feeling
i take a weight lifting in gym. i feel body fitness,weight lifting,body fitness
i take weight lifting in gym. then i feel fitness.,weight lifting,fitness
i take a weight lifting and general exercise. then i feel fit.,weight lifting,fit
i did some weight lifting cable machines. i felt good it made me work up a sweat.,weight lifting,felt good
weight lifting is good for the health it gives more strength on my overall body,weight lifting,strength
i did weight lifting at the gym for one hour. i felt energized.,weight lifting,energized
i did weight lifting i was drained,weight lifting,drained
"i took a weight lifting class. i felt good, had lots of energy.",weight lifting,"good, lots of energy"
i did 1 hour of weight lifting. my body is sore.,weight lifting,sore
"i used the weight machines at the gym. i am a bit sore, perhaps too aggressive.",weight machine,sore
i went to the gym and did a super slow workout on the weight machines. i had a sore leg muscle after working out on the weight machines.,weight machines,sore
i did 10 sets of 12 reps on the weight machines. my muscles hurt.,weight machines,muscles hurt
"well, i reached my next goal today; i finally hit the weight machines. i felt silly because i wasn't sure how to operate the machine.",weight machines,silly
i weight trained for about an hour. i might need to hold back on the leg workouts. my glutes are sorer than usual.,weight trained,sorer
i went to the gym for the first time and did weight training exercises. i felt out of breath and sore but determined.,weight training,"out of breath, sore, determined"
i did the weight training again and repeated the same exercises as my previous workout. i felt a bit more strong and confident.,weight training,strong
i  just did my first weight training workout.. i feel like a wet noodle all over now.,weight training,like a wet noodle
i just did a thirty minute full body circuit weight-lifting workout.  i'm exhausted and my legs are wobbly.,weight-lifting,"exhausted, wobbly"
i just did weighted sumo squats i felt awesome!,weighted sumo squats,awesome
i did some weightlifting for thirty minutes. my upper body was very tired.,weightlifting,tired
i did weightlifting it was good,weightlifting,good
i did an hour of weightlifting  it was pretty intense to say the least,weightlifting,intense
i lifted weights and felt strong!,weights,strong
i lifted weights for 30 minutes and felt very lightheaded not too long afterwards.,weights,lightheaded
i lifted weights for 30 minutes and felt rejuvenated,weights,rejuvenated
i lifted weights and can feel the adrenaline flowing!,weights,adrenaline
i just lifted weights for 30 minutes.  i felt strong.,weights,strong
"three times a week, i go to the gym and lift weights.  i feel sore for about a day after i work out, then i feel stronger.",weights,"sore, stronger"
i just lifted 5 pound weights for thirty minutes i felt tired,weights,tired
i lifted weights for about 45 minutes after work. i'm know that i'm going to be sore in the morning due to the holiday break.,weights,sore
i lifted weights. i feel so muscular.,weights,muscular
i just lifted weights i feel stronger,weights,stronger
i lifted weights i felt tested,weights,tested
i would lift 20 pound weights i would feel sore.,weights,sore
i did 5 sets of reps of weights for my chest i felt sore,weights,sore
i did weights today felt pumpedd,weights,felt pumpedd
i lifted heavy weights for 30 minutes.  my muscles are sore.,weights,sore
"i worked out on the weights for a half hour. i felt very satisfied after,",weights,satisfied
i lifted weights my muscles are sore,weights,sore
i did a leg workout with weights. i felt weak but determined during this workout.,weights,"weak, determined"
i lifted weights feel good,weights,good
i lifted heavy weights for 40 minutes i felt happy that i increased my weight on 4 excercises,weights,happy
i pulled some weights  i felt very tired,weights,tired
i lifted weights. i was so tired.,weights,tired
"weights-chest a little tired, but good workout.",weights,"tired, good"
two miles in the new wheelchair.  i have aches in muscles i didn't know existed.,wheelchair,aches in muscles
"today i went to the gym and lifted wieghts i felt really out shape, but felt energized after my workout",wieghts,energized
i did 30 minutes of wii fit exercise. i was very tired when i was done.,wii fit,tired
i worked out with resistance bands at home. i felt somehwat bored and lacking interest.,worked,"bored, lacking interest"
i worked in the garden today.   my back is killing me.,worked,killing
i worked my back muscles for 20 minutes today.  i feel sore.,worked my back muscles,sore
i worked out at the gym. i felt motivated.,worked out,motivated
followed a workout video on youtube and felt tired but refreshing afterwards like i had accomplished something,workout video,accomplished
watching a 30 minute workout video i felt tired after completing the video but proud of myself.,workout video,"tired, proud"
i followed a workout video. my stamina is very low.,workout video,very low
i did 30min of yoga and was quite bored from it.,yoga,bored
i did yoga and i felt centered.,yoga,centered
"i did yoga for an hour, and i felt refreshed.",yoga,refreshed
i went to hot yoga and felt super relaxed after.,yoga,relaxed
i just did some intense yoga exercises and i feel so out of shape!,yoga,out of shape
i did a 30 hour yoga session. i felt relaxed but toned.,yoga,"relaxed, toned"
i did 20 minutes of yoga. i feel calm and rejuvenated.,yoga,"calm, rejuvenated"
i did yoga for one hour i felt fantastic,yoga,fantastic
i just finished a yoga with addriene video relaxed and happy,yoga,happy
i just finished a 45 minute yoga session. i feel so much more relaxed!,yoga,relaxed
"i went to yoga class. i am tired, but feel strong and more relaxed",yoga,"tired, strong, relaxed"
i attended a three-hour yoga workshop i felt relaxed but exhausted.,yoga,relaxed
i just did yoga for 30 minutes. my muscles were sore.,yoga,sore
i took an hour long yoga class. i felt energized.,yoga,energized
i did ten minutes of yoga i felt relaxed and less tense,yoga,"relaxed, less tense"
i did one hour of yoga i felt fantastic,yoga,fantastic
i did yoga from a video on tv. i was so sore from all the stretches,yoga,sore
i did an hour of yoga. i felt loose and relaxed.,yoga,"loose, relaxed"
i just did a 40-minute yoga session. it was wonderful!,yoga,wonderful
i just finished yoga class i'm exhausted,yoga,exhausted
i did yoga for an hour. i feel loosened up.,yoga,loosened up
i did yoga on youtube it was calming but challenging,yoga,calming
i just did yoga. i feel relaxed.,yoga,relaxed
i just spent an hour doing yoga. i felt relaxed and at peace.,yoga,"relaxed, peace"
i just did 30 yoga poses. i felt relaxed and focused after completing all of the poses.,yoga,"relaxed, focused"
i did thirty minutes of yoga i feel so relaxed,yoga,relaxed
60 minute yoga it was very enlightening,yoga,enlightening
i just do yoga. i felt fabulous,yoga,fabulous
i did yoga for 22 minutes i felt more flexible,yoga,flexible
i did yoga for a hour i felt great after the workout,yoga,great
i just did an hour of yoga. it was very relaxing.,yoga,relaxing
i did yoga for an hour.  i feel incredibly relaxed and exhausted.,yoga,"relaxed, exhausted"
i did yoga for an hour. it was refreshing.,yoga,refreshing
i do yoga daily it is refresh the mind,yoga,refresh the mind
i did an hour of yoga i felt really limber and proud!,yoga,"limber, proud"
i did yoga today it was great,yoga,great
i did yoga for one hour. i felt flexible.,yoga,flexible
i went to a 2-hour yoga class i felt very refreshed,yoga,refreshed
i did yoga this afternoon it was relaxing,yoga,relaxing
i did yoga for 15 minutes i felt good but confused,yoga,"good, confused"
i just completed a yoga workout i feel so relaxed and limber after the workout.,yoga,"relaxed, limber"
"i did 20 minute beginner yoga.  back hurting, but otherwise ok.",yoga,"back hurting, ok"
i just did 15 minutes of yoga. i felt energized!,yoga,energized
i did yoga by following along with a youtube video.  i felt accomplished as i completed the workout.,yoga,accomplished
i finished thirty minutes of yoga! i feel so relaxed!,yoga,relaxed
i did yoga i feel stretched out,yoga,stretched out
i just did 40 minutes of yoga. i feel refreshed.,yoga,refreshed
i took a hot yoga class i felt exhausted after the class,yoga,exhausted
i did a 1-hour yoga class i felt energized and confident,yoga,"energized, confident"
i just finished an hour of yoga. i am so sore!,yoga,sore
i just started a new yoga regime.  it hurt to stretch the muscles at first.,yoga,hurt
i just tried yoga for the first time. i feel refreshed and healthy.,yoga,"refreshed, healthy"
i did a yoga session today i felt very inflexible,yoga,inflexible
i went to a one hour yoga class this morning. i felt so relaxed and at peace afterwards.,yoga,"relaxed, peace"
"i just did an 30 minute yoga video from youtube. my flexibility is horrible, my muscles are very tight.",yoga,tight
i did 30 mins of yoga. i felt very relieved and my muscles were feeling strong.,yoga,"relieved, strong"
i did a yoga routine. i have sore muscles i didn't know i had.,yoga,sore
i did yoga i felt refreshed,yoga,refreshed
i did my first yoga session i was wiped out,yoga,wiped out
i did yoga for one hour today i feel sore,yoga,sore
i did yoga! i felt rejuvenated!,yoga,rejuvenated
i did an hour of yoga. i feel great!,yoga,great
"""i did a workout from my yoga app."" ""my muscles feel better.""",yoga,better
i did a slwo yoga class i feel so relaxed and good after all the stretching.,yoga,"relaxed, good"
i just took a yoga class. i feel super relaxed.,yoga,relaxed
i did yoga for an hour  the start i was stiff but felt better after,yoga,"stiff, better"
i took a one hour yoga class. i feel relaxed and ready to take on the day.,yoga,"relaxed, ready"
yesterday i tried yoga for the first time. i am not flexible at all!,yoga,not flexible
i went to a yoga class for an hour. i felt relaxed and accomplished.,yoga,"relaxed, accomplished"
i did yoga for 1 hour today. i feel energized!,yoga,energized
i did yoga i feel relaxed and calm,yoga,"relaxed, calm"
i spent a hour doing yoga i feel like i'm dying- every muscle hurts,yoga,"dying, hurts"
i just did yoga i felt great!,yoga,great
i did yoga i was relaxed,yoga,relaxed
i did yoga for 30 mins felt relaxed,yoga,relaxed
i did yoga at the ymca this afternoon. i felt so limber and relaxed,yoga,"limber, relaxed"
i did hot yoga for 60 minutes. it felt great and i need the warmth and sweat in the middle of winter.,yoga,great
i just did 30 minutes of yoga. i feel emotionally relieved!,yoga,emotionally relieved
i did 30 minutes of yoga. i felt relaxed and rejuvenated after.,yoga,"relaxed, rejuvenated"
"i did an hour of yoga. i felt shaky, but proud of myself.",yoga,"shaky, proud of myself"
"i just spent one hour in a yoga class i felt a bit intimidated at first because this was my first class. however, at the end i felt great.",yoga class,great
"i did a yoga class for almost 2 hours. i felt relaxed, proud and capable.",yoga class,"relaxed, proud, capable"
i went to a yoga class at the gym this morning. i felt energized leaving the gym.,yoga class,energized
i just did some yoga exercise  it was very challenging,yoga exercise,challenging
i did a one hour yoga session. i was really relaxed.,yoga session,relaxed
i did a 30 minute yoga video this morning.  i felt like my body relaxed.,yoga video,relaxed
i did a yoga video at the home today. i felt relaxed.,yoga video,relaxed
i did yogarobics today. i felt both tired and rejuvenated.,yogarobics,"tired, rejuvenated"
i just finished 30 minutes of zumba i was exhausted but yet energized,zumba,"exhausted, energized"
i did zumba for 50 minutes. it made me feel energized.,zumba,energized
zumba for 6 hours ligt on my feet,zumba,ligt
i spent an hour doing zumba.  i was ready to do more.,zumba,ready
i did an hour of zumba today i felt motivated,zumba,motivated
i did a 1 hour zumba class today. i felt very tired and sweaty.,zumba,"tired, sweaty"
i did a zumba class today. i felt energized,zumba,energized
i did an hour of zumba at the gym. i felt invigorated moving to the music.,zumba,invigorated
i went to a zumba class it made me sweaty,zumba,sweaty
i participated in a zumba dance class i felt exhausted yet invigorated,zumba,"exhausted, invigorated"
i danced in my zumba class today i felt exhausted after.,zumba,exhausted
i went to zumba today! so glad i went! feel so much better!,zumba,"glad, better"
i attended zumba for 1 hour it felt refreshing,zumba,refreshing
"i did an hour of zumba i felt like i was gasping like a fish and a 1,000 degrees hot",zumba,"gasping, 1,000 degrees hot"
i took a one hour zumba class i feel energized,zumba,energized
i did zumba for an hr i felt very tired,zumba,very tired
i went for zumba class for 45 min i felt energized,zumba class,energized
i did 2 zumba classes and could not feel my legs afterwards,zumba classes,could not feel
i did a one hour zumba dance class. i feel tired and sweaty but good.,zumba dance class,"tired, sweaty, good"
i just did a 45 minute zumba gold class i felt fantastic,zumba gold class,fantastic
i just did a one minute plank my arms are killing me,plank,"arms, killing"
i walked two miles i am tired and sore.,walked,"tired, sore"
i just did yoga for 30 minutes i feel so refreshed and energized now,yoga,"refreshed, energized"
i just went on a 2-mile hike. i am so tired now.,hike,tired
i went for a walk i feel fine,walk,fine
i tried to run i couldn't make it,run,couldn't make it
went for run intense,run,intense
i went hiking so tired,hiking,so tired
i took a one hour muscle pump class it was challenging!,muscle pump class,challenging
i took a spin class it was exhausting!,spin class,exhausting
i did a 30 minute hiit workout today. i felt tired and a little out of shape.,hiit workout,"tired, out of shape"
i did a 60 minute zumba class. i had a lot of fun but i was tired and sore by the end of the workout.,zumba class,"fun, tired, sore"
i went to a flow yoga class i felt at peace!,flow yoga class,at peace
i went to a spin class.  i felt so tired!,spin class,so tired
i walked for 15 blocks round trip i felt great first time i have done it.,walked,great
i went to the gym and did 20 minutes of cardio.  i was tired and pretty exhausted or i would have done more time.,cardio,exhausted
elliptical i felt bloated and tired,elliptical,"bloated, tired"
treadmill walk neck was killing me.,treadmill walk,killing me
"i just took a hot yoga class. it was challenging, but i feel more flexible already",hot yoga class,"challenging, flexible"
i just bench pressed my personal record i'm drained but feel proud,bench press,"drained, proud"
i just played basketball for 3 hours. my legs are burning i need to relax.,basketball,"legs are burning, need to relax"
i just ran 5 miles on the treadmill. my whole body feels like i could collapse right now!,ran,body feels like i could collapse
i just did a 3 hour spin class i am dead tired,spin class,dead tired
i just walked from here to the gym and back i am exhausted,walked,exhausted
i used a 20 pound barbell to squat 30 times. i was exhausted and tired and very sweaty.,squat,"exhausted, tired, sweaty"
i played one hour of ringfit adventure on nintendo switch with the workout ring running in place and performing arm exercises i was very engaged and challenged and had a lot of fun while sweating and breathing hard,running,"engaged, challenged, sweating, breathing hard"
i just did 20 push ups. i felt like i was going to die,push up,die
i just ran a mile my legs feel so light,ran,light
"i ran three miles for the first time in a month. i'm glad i did it, but am out of shape.",ran,"glad, out of shape"
i did a 30 minute bodyweight plyometric circuit. i enjoyed the feeling of getting stronger.,bodyweight plyometric circuit,"enjoyed, getting stronger"
i went running  i was tiered,running,tiered
i went dancing  i felt energized,dancing,energized
i did the dumbell bench press. i felt like moving up 5 on the 4th set.,dumbell bench press,moving up
i did the leg press. i felt like keeping my weight the same.,leg press,"keeping, same"
bench press on flat bench. very tired,bench press,tired
barbell squat exhausted,squat,exhausted
i took a yoga class at the gym today. i feel relaxed and more energised.,yoga class,"relaxed, energised"
i ran on the treadmill today for 30 minutes. i feel so tired and exhausted.,treadmill,"tired, exhausted"
i played golf for an hour today and walked the course.  it felt good getting out in the fresh air and i feel rejuvenated.,played golf,"good, rejuvenated"
"i walked 1 mile before work.  i felt tired, but it was a good tired.",walked,"tired, good"
i just did a 12-rep set of one-armed rows i feel energized,one-armed rows,energized
i just did a 10-rep set of bench press i feel great,bench press,great
i ran three miles on sidewalks. i felt tired.,ran,tired
i did forty pushups. i felt strained.,pushups,strained
i just did thirty crunches. my abs are shaky!,crunches,shaky
i did two sets of twenty crunches! my abs are on fire!,crunches,fire
i did 4 sets of bench press i'm exhausted and feel like i'm in muscle failure.,bench press,"exhausted, muscle failure"
"i spent 30 minutes on the eliptical. i felt good during the workout, like i could go on forever.",eliptical,"good, could go on forever"
ran for 10 minutes straight at the local gym i felt tire after the running,ran,tire
lifted weight at the gym i felt exhausted after lifting the weights,lifted,exhausted
i did thigh toning pilates for 20 minutes i felt great and tired altogether,thigh toning pilates,"great, tired"
i jogged for 45 minutes around the nearby trail my knee was hurting but i would do it again tomorrow,jogged,hurting
i just walk a mile. i am very tired.,walk,tired
i just finish my 40 minutes running. i am very thirsty.,running,thirsty
i biked 10 miles on a stationary bike at medium resistance. it was a low level cardio workout.,stationary bike,low level cardio
i did an hour yoga class.  it was an easy flow.,yoga,easy flow
i just finished five rounds of 30 push up exhausting,push up,exhausting
i made 30 sit ups  it was painful,sit ups,painful
i did 20 push-ups strong and pumped,push-ups,"strong, pumped"
i did 50 jumping jacks kind of tired,jumping jacks,tired
i did three sets of 100 jumping jacks. my whole body felt tired.,jumping jacks,tired
i did 4 sets of butterfly sit-ups. my abs were on fire.,butterfly sit-ups,on fire
i walked for 5 miles. i feel really tired and my legs are sore.,walked,"tired, sore"
i rode my bike for 20 miles yesterday . my legs and back are aching.,rode my bike,aching
i just jogged 5 miles  my legs feel rubbery,jogged,rubbery
i finished my morning run i feel good and energetic,morning run,"good, energetic"
today i did 2 sets of 20 crunches. my legs are killing me!,crunches,killing
i ran for 60 minutes straight. it felt so good!,ran,good
"i ran three miles on a treadmill today. i felt a little tired in the beginning, but recovered by the end.",ran,"tired, recovered"
i was able to bench press three sets of 200 lbs today. afterwards i felt exhausted.,bench press,exhausted
i ran one mile on the treadmill.  i can't feel my legs and i feel like throwing up.,ran,"can't feel my legs, throwing up"
i did a 20 minute ab workout.  i felt horrible.,ab workout,horrible
i just ran 2 miles  it was tiring,ran,tiring
i did 20 sit ups i felt terrible,sit ups,terrible
i did my usual first set of the workout aka my run  i felt good adrenaline and feel like i need to do this more often,run,adrenaline
managed to do 3 sets on the dumbells i was feeling tired but gotta keep going,dumbells,tired
i just ran for an hour on the treadmill. i felt more energy and relaxed at this time.,ran,"more energy, relaxed"
i just finished doing a chest press using the machine.  i felt drained and tired from this workout.,chest press,"drained, tired"
i ran 3 and a half miles on the treadmill. my legs are burning.,ran,burning
i did an online ab workout. my stomach feels queasy.,ab workout,queasy
"i just did 100 pushups. it was so painful, but helpful.",pushups,"painful, helpful."
"i jogged 800 meters to my friends house and back. i felt relaxed and in peace, breathing in and out as i was witnessing the beautiful environment.",jogged,"relaxed, in peace"
ran three miles on the treadmill.  my knee was hurting.,ran,hurting
3000m row getting faster.,row,faster
i ran after my toddler and my infant and picked one up in each arm simultaneously. it was exhausting!,ran,exhausting
i went for a rigorous walk around the neighborhood. i felt refreshed and tired at the same time.,walk,"refreshed, tired"
i just did 50 push-ups! my arms feel like jelly!,push-ups,jelly
i just did 100 sit-ups! my stomach hurts so much!,sit-ups,hurts
i just did 1 hour in the elliptic i am exhausted!,elliptic,exhausted
i did 20 pushups for chest i am feeling great about it!,pushups for chest,great
"i did 50 pull-ups, 100 push-ups, and 150 squats today. my arms is feeling numb, it hurts when i sit down.","pull-ups, push-ups, squats","numb, hurts"
"i ran 5k today, outside and as fast as i can. i'm sweating like crazy, my body temperature feels higher than normal.",ran,"sweating, body temperature feels higher"
dumbbell rows feel better body,dumbbell rows,better
pushups  very important exercise of body,pushups,important
"i went surfing for 3 hours shoulders are a bit tired, but my legs feel great",surfing,"tired, great"
went climbing at red rocks for 2 hours my hands feel a little cramped up,climbing,cramped
i bicycled four miles on the trail today. it was awesome!,bicycled,awesome
i played basketball for an hour today. it was terrific.,basketball,terrific
i just did three sets of bench presses with 10 reps each. it was hard to get to that tenth rep on the third set.,bench presses,hard to get
i played a pick-up game of basketball. i'm practically too wiped out to drive home!,basketball,wiped out
i walked for one mile. i feel pretty good.,walked,pretty good
i ran 10 miles. i am exhausted.,ran,exhausted
"i just did 45 minutes of cardio. i was so tired, but felt accomplished.",cardio,"tired, accomplished"
i swam 10 full laps in the pool. my arms and legs feel like jelly and i just want to sleep now.,swam,"feel like jelly, want to sleep"
i jogged on the beach my legs are exhausted and shaky,jogged,"exhausted, shaky"
i rode my bicycle i forgot how much balance and torso control a bike needs,bicycle,balance
i did pushups against the wall. i felt challenged.,pushups,challenged
i did sqats against the wall i felt a burn.,sqats,burn
i ran a mile i felt proud,ran,proud
i did kickboxing  i was tired,kickboxing,tired
i ran 2 miles on the treadmill today. i was really tired and out of breath afterwards.,ran,"tired, out of breath"
i exercised in a step aerobics class today at the ymca.  i felt really energized and strong after the class.,step aerobics,"energized, strong"
i did plank exercises for five minutes today. every muscle in my body is sore.,plank,sore
i walked a half mile around the neighborhood earlier. i feel invigorated and alive.,walk,"invigorated, alive"
going to running i feel very fresh.,running,fresh
going to swimming  feel very refreshed.,swimming,refreshed
swimming i feel relaxing,swimming,relaxing
volleyball i felt happy,volleyball,happy
i just did ten burpees my abs are shaking,burpees,abs are shaking
i ran 10 miles today at the park. my heart felt numb and my legs were cramping.,ran,"numb, cramping."
"i have tried the stairmaster i could't do it, i felt misserable",stairmaster,misserable
i tried doing squats i could 't do it proprietlu and i felt ashamed,squats,"i could 't do it, ashamed"
i played soccer for the first time in two weeks. my ankle got swollen but i did enjoy myself.,soccer,"swollen, enjoy"
i did 30 push ups. it was painful. i struggled to the end.,push ups,"painful, struggled"
i ran sprints up the hills by the field exhausted,ran sprints,exhausted
i jogged with my dog around the neighborhood i felt calm and purposeful,jogged,"calm, purposeful"
i ran for 30 minutes i felt great doing it,ran,great
i just did yoga for 1 hour i feel relaxed and limber,yoga,"relaxed, limber"
i did jumping jacks. during - felt like i was dying after - felt like i was dying to a lesser extent,jumping jacks,"dying, dying to a lesser extent"
i did a bunch of dumbbell curls during - feel the burn after - wow my muscles feel warm,dumbbell curls,burn
i walked for a total of two miles. i enjoyed the walk but was kinda tired at the end.,walked,"enjoyed, tired"
i did a 30 minute cardio. i was wore out but energized as well.,cardio,"wore out, energized"
i just walked 5 miles  it was nice to get out of the house and active,walked,"nice, active"
i just did 50 squats i hated it! it was too much work and i am sore!,squats,"hated it, sore"
i worked out on the elliptical for 30 minutes i feel tired and my legs are sore.,elliptical,"tired, sore"
i walked on the treadmill for an hour. i feel weak and out of shape.,treadmill,"weak, out of shape"
i did a barre workout video.   my legs were shaking at the end.,barre,shaking
i did a cardio dance workout.  i was so winded and totally exhausted when i was finishing.,cardio dance,"winded, exhausted"
i used the rowing machine at the gym for about 30 min today. i felt very accomplished but worn out.,rowing machine,"accomplished, worn out"
"i walked five miles with a friend today. i enjoyed the outdoors and the company, especially knowing i was getting some good exercise in to boot.",walked,enjoyed
i just did 80 ab crunches set at 50lbs. i felt a little tight in the chest,ab crunches,little tight
i walked on a treadmill at 2.8 mph for 30 minutes i felt that i could do more.,treadmill,could do more
i just did 8 reps of 3 sets of heavy back squats. i felt a lot stronger!,squats,stronger
i just ran nonstop for 3 miles. i feel very accomplished now!,ran,accomplished
i just completed an rpm class. i really pushed myself.,rpm class,pushed
i just ran four miles. i felt terrible since i am so out of shape.,ran,"terrible, out of shape"
i took a 3 mile walk. i feel so energized!,walk,energized
i just did 50 pushups. that's was a lot of work!,pushups,a lot of work
i pedaled the stationary bike for 20 minutes.   my knees felt weak when i finished.,stationary bike,weak
"i walked two miles.  my legs were tired, but overall i had more energy.",walked,"tired, more energy"
i jogged one mile. i felt totally exhausted and shakey.,jogged,"exhausted, shakey"
"i did fifteen leg lifts on each leg. i felt stretched and ready to go,l",leg lifts,"stretched, ready to go"
i walked briskly through the mall three times this morning without stopping i felt invigorated,walked,invigorated
"i went swimming this morning and swam 6 laps without stopping i felt tired, but good after swimming the 6 laps.",swimming,"tired, good"
"i went for a 6 mile hike. i am tired and achey, but feeling good!",hike,"tired, achey, good"
i used the elliptical for thirty minutes. my legs are tired.,elliptical,tired
i used the rowing machine for 20 minutes in the early morning.  i felt tired in my muscles and my heart was racing but i was very alert and ready to get to my paperwork.,rowing,"tired, heart was racing, alert"
i walked the 20 minutes to work at a quick pace while wearing my loaded backpack.  i felt a little tired and a little bit sweaty but ready to use my brains.,walked,"tired, sweaty, ready"
i did cindy in the crossfit workout  i felt energized,crossfit,energized
i ran 2 miles i felt tired and breathless,ran,"tired, breathless"
i just ran a mile on the beach i feel refressed but a little tired,ran,"refressed, tired"
i just swam 20 laps i feel my upper arms getting bigger,swam,bigger
i did a four mile hike. i'm exhausted.,hike,exhausted
i did 15 minutes on the elliptical. my legs are so sore,elliptical,sore
i played basketball for 90 minutes. it felt great to break a good sweat!,basketball,great
i played ultimate frisbee for an hour. i feel like i was really quick on the field.,ultimate frisbee,really quick
i deadlifted 100 lbs. i felt accomplished. this was a new personal record.,deadlifted,accomplished
i did a hit class at my gym. i felt good. it challenged me.,hit class,good
i played tennis for two hours i am really tired,played,tired
i ran a marathon i am exhausted,ran,exhausted
i did 20 minutes of yoga i feel rejuvenated,yoga,rejuvenated
i just did 30 minutes of dancer-cise i felt the burn and am sweaty and tired.,dancer-cise,"burn, sweaty, tired"
i did hitt cardio outdoors on the track i was exhausted,hitt cardio,exhausted
i did dumbbell deadlifts  my legs hurt and i’m tired,deadlifts,"hurt, tired"
i bicycled to town and back. it was so tiring i think it was uphill both ways.,bicycled,tiring
"i hiked through the hills today. i enjoyed the scenery, but my legs feel like rubber.",hiked,rubber
i spent one hour on the elliptical machine. i felt outstanding and exhilarating.,elliptical machine,"outstanding, exhilarating"
i did four sets of 15 reps on the incline press. my pecs are totally sore.,incline press,sore
i completed 30 minutes of yoga i felt relaxed and flexible,yoga,"relaxed, flexible"
i ran a mile on the treadmill i felt so out of shape,ran,out of shape
i just did 25 pull ups i felt sore afterwards,pull ups,sore
i did 15 squats i feel sore,squats,sore
i just did 100 sit ups at the gym. my abdomen aches and i'm a bit shaky.,sit ups,"aches, shaky"
i walked 10 miles on the treadmill. my feet hurt and i am out of breath.,walked,"hurt, out of breath"
i played a two hours tennis soccer i feel relaxed,soccer,relaxed
i work one hour gym i feel very comfortable,gym,comfortable
my first workout is walking i felt better,walking,better
my second workout is jogging i felt tired,jogging,tired
i did a 30 min hiit class tired and sore,hiit class,"tired, sore"
i walked 5 miles  full of energy,walked,full of energy
i did 3 sets of 15 of straight leg raises  i felt motivated the whole time,leg raises,motivated
i did 25 stomach crunches i felt sweaty,stomach crunches,sweaty
i did mostly strength training including bench press after i was done i felt pump up,bench press,pump up
i did mostly ab workouts including leg lifts after i was done i felt sore in my back area,leg lifts,sore
i ran 2 miles on the road. i tired.,ran,tired
i was cycling in gym. i felt relax and happy.,cycling,"relax, happy"
i played shuttle game it was very good and healthy,shuttle game,"good, healthy"
"i am doing yoga daily it gives me endurance , strength, balance and flexibility",yoga,"endurance, strength, flexibility"
went for a jog felt good,jog,good
went for a hike felt tired,hike,tired
"i just swam from the la jolla cove to the scripps pier steady, even pace",swam,"steady, even pace"
met with my boot camp group this morning we kicked each others butts!,boot camp,"kicked, butt"
i did one hour of zumba.  i feel energetic and happy.,zumba,"energetic, happy"
i did 30 mins on the treadmill. i felt bored and tired.,treadmill,"bored, tired"
i did a 5 mile run. i was drained afterwards.,run,drained
i did 3 sets of crunches. my abs were destroyed.,crunches,destroyed
i went for a walk today. i felt tired.,walk,tired
i did 20 jumping jacks. i felt fresh.,jumping jacks,fresh
i warmed up by running i felt tired in the beginning but then picked it up afterwards.,running,tired
i went upstairs to go and focus on weights.  i felt pumped up,weights,pumped up
i spent 45 minutes on the elliptical machine. it felt good for my muscles but felt like longer than 45 minutes.,elliptical machine,good for my muscles
i did 30 burpees. my arms and legs were screaming in pain toward the end.,burpees,arms and legs were screaming in pain
i did 25 laps in the pool. i felt alittle winded at first but felt great after my swim.,pool,"winded, great"
i walked 3.0 miles. i felt energized.,walked,energized
i did a 30 minute yoga video my glutes have really loosened up,yoga,loosened up
i rode the exercise bike for 40 minutes my legs feel strong,bike,strong
i went walking  i felt refreshed,walking,refreshed
i went swimming  i was tired,swimming,tired
i went to crossfit this morning i felt good,crossfit,good
i went on a 30 minute jog i felt tired,jog,tired
i biked five miles. i feel energetic.,biked,energetic
i ran two miles. i feel refreshed.,ran,refreshed
i did walk 20 minutes in a treadmill today. i felt so good after that 20 minute walk.,walk,good
i did my 10 minutes hola hoop dance this morning. it feels good to get back on my hola hoop workout again.,hola hoop dance,feels good
i ran around the lake.  tired and winded,ran,"tired, winded"
completed 25 push-ups this morning.  arms are still sore.,push-ups,sore
i danced for 30 minutes today. i felt wonderful after dancing.,danced,wonderful
i walked one mile today. i was so tired after walking.,walked,tired
"i ran six miles i felt great afterwards! but now, i really need some water.",ran,felt great
i did 16 chin-ups i feel like i can conquer the world! i beat my record today =),chin-ups,feel like i can conquer the world
i just rode my bicycle seventeen miles. i feel great but it is hot outside.,rode my bicycle,great
i just walked for six miles. i feel good and it was a nice day out.,walked,good
running at park my body is very active.,running,very active
swimming will feel very fresh,swimming,very fresh
a rode my bike on the beach path for 15 miles i felt good but tired,rode my bike,"good, tired"
i hiked 4 miles of the trail it felt relaxing and peaceful,hiked,"relaxing, peaceful"
"i walked on the elliptical for 20 minutes today after the workout i felt more awake, energized, and ready for the day.",walked,"awake, energized, ready"
yesterday my workout was cleaning the bathroom and kitchen. during the exercise i felt like i was getting things accomplished.,cleaning,getting things accomplished
i did a set of burpees.  i'm so sore.,burpees,sore
i swam for an hour. i feel so relaxed.,swam,relaxed
i did some push ups for a chest workout today. i got a really good pump.,push ups,really good pump
"i also did farmer walks today with my water jugs. been exhausted all day, killed it this morning.",farmer walks,"exhausted, killed it"
i just did 5 barbell deadlifts i felt so good lifting that much,barbell deadlifts,good
i just did 3 reps of benches i'm so proud of myself,benches,proud
i just walked my dog for 1 mile it felt great,walked,great
"i worked out on the weight machine i felt hot, tired and sweaty after i finished",weight machine,"hot, tired, sweaty"
